,references
0,"Singer, M. et al. The third international consensus definitions for sepsis and septic shock (sepsis-3). JAMA 315, 801–810 (2016)."
1,"Hotchkiss, R. S., Monneret, G. & Payen, D. Immunosuppression in sepsis: A novel understanding of the disorder and a new therapeutic approach. Lancet. Infect. Dis 13, 260–268. https://doi.org/10.1016/s1473-3099(13)70001-x (2013)."
2,"Otto, G. P. et al. The late phase of sepsis is characterized by an increased microbiological burden and death rate. Crit. Care 15, R183 (2011)."
3,"Torgersen, C. et al. Macroscopic postmortem findings in 235 surgical intensive care patients with sepsis. Anesth. Analg. 108, 1841–1847. https://doi.org/10.1213/ane.0b013e318195e11d (2009)."
4,"Castegren, M. et al. Differences in organ dysfunction in endotoxin-tolerant pigs under intensive care exposed to a second hit of endotoxin. Shock 37, 501–510. https://doi.org/10.1097/SHK.0b013e318249bb0d (2012)."
5,"Murphey, E., Fang, G., Varma, T. K. & Sherwood, E. R. Improved bacterial clearance and decreased mortality can be induced by LPS tolerance and is not dependent upon IFN-γ. Shock 27, 289–295 (2007)."
6,"Draisma, A., Pickkers, P., Bouw, M. P. & van der Hoeven, J. G. Development of endotoxin tolerance in humans in vivo. Crit. Care Med. 37, 1261–1267. https://doi.org/10.1097/CCM.0b013e31819c3c67 (2009)."
7,"Biswas, S. K. & Lopez-Collazo, E. Kappa Endotoxin tolerance: New mechanisms, molecules and clinical significance. Trends Immunol. 30, 475–487. https://doi.org/10.1016/j.it.2009.07.009 (2009)."
8,"Castegren, M., Jonasson, M., Castegren, S., Lipcsey, M. & Sjolin, J. Initial levels of organ failure, microbial findings and mortality in intensive care-treated primary, secondary and tertiary sepsis. Crit. Care Resuscit. J. Aust. Acad. Crit. Care Med. 17, 174–181 (2015)."
9,"Kumar, A. et al. Early combination antibiotic therapy yields improved survival compared with monotherapy in septic shock: A propensity-matched analysis. Crit. Care Med. 38, 1773–1785. https://doi.org/10.1097/CCM.0b013e3181eb3ccd (2010)."
10,"Paul, M., Lador, A., Grozinsky-Glasberg, S. & Leibovici, L. Beta lactam antibiotic monotherapy versus beta lactam-aminoglycoside antibiotic combination therapy for sepsis. Cochr. Database Syst. Rev. 2014, cd003344. https://doi.org/10.1002/14651858.CD003344.pub3 (2014)."
11,"Rhodes, A. et al. Surviving sepsis campaign: International guidelines for management of sepsis and septic shock: 2016. Crit. Care Med. 45, 486–552. https://doi.org/10.1097/ccm.0000000000002255 (2017)."
12,"Kalil, A. C. et al. Infectious Diseases Society of America (IDSA) POSITION STATEMENT: Why IDSA Did Not Endorse the Surviving Sepsis Campaign Guidelines. Clin. Infect. Dis. 66, 1631–1635. https://doi.org/10.1093/cid/cix997 (2018)."
13,"Evans, L. et al. Surviving sepsis campaign: International guidelines for management of sepsis and septic shock 2021. Intens. Care Med. https://doi.org/10.1007/s00134-021-06506-y (2021)."
14,"Murphey, E., Fang, G. & Sherwood, E. R. Endotoxin pretreatment improves bacterial clearance and decreases mortality in mice challenged with Staphylococcus aureus. Shock 29, 512–518 (2008)."
15,"Lehner, M. D. et al. Improved innate immunity of endotoxin-tolerant mice increases resistance to Salmonella enterica serovar typhimurium infection despite attenuated cytokine response. Infect. Immun. 69, 463–471 (2001)."
16,"Mair, K. et al. The porcine innate immune system: An update. Dev. Comp. Immunol. 45, 321–343 (2014)."
17,"Meurens, F., Summerfield, A., Nauwynck, H., Saif, L. & Gerdts, V. The pig: A model for human infectious diseases. Trends Microbiol. 20, 50–57 (2012)."
